Domain	Subset	Mode	N_Partitions	Sweep_Set	Region_Index	Region_Label	Cutoff_Count	Expected_Cells	Eval_Cells	Finite_Value_Cells	Primary_Eligible_Cells	Finite_Eligible_Cells	Finite_Eligible_Eval_Pct	Positive_Cells	Positive_Eval_Pct	Negative_Cells	Negative_Eval_Pct	Zero_Cells	Large_Positive_Cells	Large_Positive_Eval_Pct	Large_Positive_Eligible_Pct	Large_Negative_Cells	Large_Negative_Eval_Pct	Large_Negative_Eligible_Pct	Mean_Value	Median_Value
Brite	All	Combo6yr	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	819	8.190000	8127	81.270000	954	705	7.050000	7.121212	8127	81.270000	82.090909	-0.749704	-1.000000
Brite	All	Combo6yr	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	9900	9801	9801	99.000000	3395	34.292929	5600	56.565657	806	434	4.383838	4.428120	2616	26.424242	26.691154	-0.169342	-0.031250
Brite	All	Period1_2015_2017	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	818	8.180000	8182	81.820000	900	737	7.370000	7.444444	8171	81.710000	82.535354	-0.750904	-1.000000
Brite	All	Period1_2015_2017	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	9900	9801	9801	99.000000	2920	29.494949	6139	62.010101	742	225	2.272727	2.295684	2951	29.808081	30.109173	-0.252482	-0.059028
Brite	All	Period2_2018_2020	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	719	7.190000	8172	81.720000	1009	585	5.850000	5.909091	8171	81.710000	82.535354	-0.765610	-1.000000
Brite	All	Period2_2018_2020	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	9900	9801	9801	99.000000	3800	38.383838	5312	53.656566	689	429	4.333333	4.377104	58	0.585859	0.591776	0.037442	-0.010417
Brite	PM	Combo6yr	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	704	7.040000	7816	78.160000	1380	663	6.630000	6.696970	7745	77.450000	78.232323	-0.716552	-1.000000
Brite	PM	Combo6yr	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	5800	5608	5608	56.646465	1015	10.252525	3257	32.898990	1336	540	5.454545	9.629101	2689	27.161616	47.949358	-0.407162	-0.215278
Brite	PM	Period1_2015_2017	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	810	8.100000	7942	79.420000	1148	715	7.150000	7.222222	7856	78.560000	79.353535	-0.720483	-1.000000
Brite	PM	Period1_2015_2017	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	5800	5607	5607	56.636364	1019	10.292929	3254	32.868687	1334	444	4.484848	7.918673	2702	27.292929	48.189763	-0.412869	-0.215278
Brite	PM	Period2_2018_2020	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	605	6.050000	7823	78.230000	1472	589	5.890000	5.949495	7733	77.330000	78.111111	-0.721047	-1.000000
Brite	PM	Period2_2018_2020	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	2400	2237	2237	22.595960	368	3.717172	1313	13.262626	556	2	0.020202	0.089405	875	8.838384	39.114886	-0.399835	-0.083333
Brite	SM	Combo6yr	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	707	7.070000	7856	78.560000	1337	698	6.980000	7.050505	7854	78.540000	79.333333	-0.726628	-1.000000
Brite	SM	Combo6yr	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	9900	9801	9801	99.000000	6292	63.555556	2657	26.838384	852	1053	10.636364	10.743802	21	0.212121	0.214264	0.128173	0.038194
Brite	SM	Period1_2015_2017	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	782	7.820000	7489	74.890000	1629	485	4.850000	4.898990	7171	71.710000	72.434343	-0.642080	-0.986111
Brite	SM	Period1_2015_2017	2	all100	2	bin 2/2: high signed-tail side	99	9900	9900	9900	9801	9801	99.000000	3997	40.373737	5044	50.949495	760	408	4.121212	4.162841	1823	18.414141	18.600143	-0.095599	-0.010417
Brite	SM	Period2_2018_2020	2	all100	1	bin 1/2: low-to-middle signed-cutoff region	100	10000	10000	10000	9900	9900	99.000000	786	7.860000	7819	78.190000	1295	683	6.830000	6.898990	7808	78.080000	78.868687	-0.711855	-1.000000
