analysis_id	q	domains	subsets	cutoffs	source_path	raw_size	estimated_gzip_size	github_policy	external_uri	status	note
fourthroot_all10_group_summary	q2	10	All/PM/SM	199	GPUPC2:out_sensitivity/stage2_q2_all10_raw_fourthroot_safechunk6_20260624_191606/upstream_fourthroot_all10/group_summary_v36_9_q012.csv	2.5G	457M	S3_over_100MB	s3://20260630-jfca-ifdc2026-specialissue/Chao1_Intensity/Supplementary_Materials/D7/D7_fourthroot_all10_group_summary_v36_9_q2.csv.gz	local_payload_ready_pending_s3_upload	group-level Stage 2 coverage diagnostics; Hill estimate columns are in D8 comparison payloads
sqrt_all10_group_summary	q2	10	All/PM/SM	199	GPUPC2:out_sensitivity/stage2_q2_all10_transform_sqrt_log1p_20260625_111513/upstream_sqrt_all10/group_summary_v36_9_q012.csv	2.4G	419M	S3_over_100MB	s3://20260630-jfca-ifdc2026-specialissue/Chao1_Intensity/Supplementary_Materials/D7/D7_sqrt_all10_group_summary_v36_9_q2.csv.gz	local_payload_ready_pending_s3_upload	group-level Stage 2 coverage diagnostics; Hill estimate columns are in D8 comparison payloads
log1p_all10_group_summary	q2	10	All/PM/SM	199	GPUPC2:out_sensitivity/stage2_q2_all10_transform_sqrt_log1p_20260625_111513/upstream_log1p_all10/group_summary_v36_9_q012.csv	2.5G	465M	S3_over_100MB	s3://20260630-jfca-ifdc2026-specialissue/Chao1_Intensity/Supplementary_Materials/D7/D7_log1p_all10_group_summary_v36_9_q2.csv.gz	local_payload_ready_pending_s3_upload	group-level Stage 2 coverage diagnostics; Hill estimate columns are in D8 comparison payloads
